turns,balance,speed,y,shield
140,4243,7,525,1
141,4243,1,526,0
142,4243,1,527,0
143,4143,4,531,1
144,4143,4,535,0
145,4143,4,539,0
146,4143,1,540,0
147,4042,4,544,1
148,4042,4,548,0
149,4042,4,552,0
150,3941,7,559,1
151,3941,1,560,0
152,3841,4,564,1
153,3841,4,568,0
154,3841,4,572,0
155,3841,4,576,0
156,3841,1,577,0
157,3741,4,581,1
158,3741,7,588,0
159,3741,1,589,0
160,3741,1,590,0
161,3741,1,591,0
162,3640,4,595,1
163,3640,1,596,0
164,3640,1,597,0
165,3539,4,601,1
166,3539,1,602,0
167,3439,4,606,1
168,3439,4,610,0
169,3439,1,611,0
170,3339,4,615,1
171,3339,1,616,0
172,3339,1,617,0
173,3239,4,621,1
174,3239,4,625,0
175,3239,1,626,0
176,3239,1,627,0
177,3239,1,628,0
178,3139,4,632,1
179,3139,4,636,0
180,3139,1,637,0
181,3039,4,641,1
182,3039,7,648,0
183,3039,1,649,0
184,3039,1,650,0
185,3039,1,651,0
186,3039,1,652,0
187,2939,4,656,1
188,2939,4,660,0
189,2838,7,667,1
190,2838,7,674,0
191,2738,10,684,1
192,2738,10,694,0
193,2738,1,695,0
194,2638,4,699,1
195,2638,4,703,0
196,2638,4,707,0
197,2638,4,711,0
198,2638,1,712,0
199,2538,4,716,1
200,2538,4,720,0
201,2437,7,727,1
202,2437,7,734,0
203,2437,1,735,0
204,2437,1,736,0
205,2337,4,740,1
206,2337,1,741,0
207,2337,1,742,0
208,2237,4,746,1
209,2237,7,753,0
210,2237,1,754,0
211,2237,1,755,0
212,2237,1,756,0
213,2136,4,760,1
214,2136,4,764,0
215,2136,4,768,0
216,2136,1,769,0
217,2036,4,773,1
218,2036,4,777,0
219,1935,7,784,1
220,1935,7,791,0
221,1935,1,792,0
222,1935,1,793,0
223,1835,4,797,1
224,1835,4,801,0
225,1835,1,802,0
226,1735,4,806,1
227,1735,7,813,0
228,1735,1,814,0
229,1735,1,815,0
230,1735,1,816,0
231,1634,4,820,1
232,1634,4,824,0
233,1534,7,831,1
234,1534,7,838,0
235,1534,1,839,0
236,1534,1,840,0
237,1534,1,841,0
238,1434,4,845,1
239,1434,4,849,0
240,1333,7,856,1
241,1333,1,857,0
242,1233,4,861,1
243,1233,4,865,0
244,1233,4,869,0
245,1133,7,876,1
246,1133,7,883,0
247,1133,1,884,0
248,1133,1,885,0
249,1133,1,886,0
250,1033,4,890,1
251,1033,1,891,0
252,1033,1,892,0
253,933,4,896,1
254,933,7,903,0
255,933,1,904,0
256,933,1,905,0
257,933,1,906,0
258,933,1,907,0
259,833,4,911,1
260,833,4,915,0
261,732,7,922,1
262,732,1,923,0
263,732,1,924,0
264,631,4,928,1
265,631,4,932,0
266,631,1,933,0
267,631,1,934,0
268,531,4,938,1
269,531,7,945,0
270,531,1,946,0
271,531,1,947,0
272,531,1,948,0
273,430,4,952,1
274,430,4,956,0
275,430,4,960,0
276,329,7,967,1
277,329,1,968,0
278,329,1,969,0
279,228,4,973,1
280,228,4,977,0
281,228,1,978,0
282,228,1,979,0
283,128,4,983,1
284,128,4,987,0
285,128,4,991,0
286,28,7,998,1
286,28,7,1005,0
