turns,balance,speed,y,shield
156,1,1,474,0
157,1,1,475,0
158,1,1,476,0
159,1,1,477,0
160,1,4,481,0
161,1,4,485,0
162,1,4,489,0
163,1,4,493,0
164,1,7,500,0
165,1,7,507,0
166,1,1,508,0
167,1,1,509,0
168,1,1,510,0
169,1,4,514,0
170,1,4,518,0
171,1,1,519,0
172,1,4,523,0
173,1,4,527,0
174,1,1,528,0
175,1,4,532,0
176,1,7,539,0
177,1,1,540,0
178,1,1,541,0
179,1,1,542,0
180,1,1,543,0
181,1,1,544,0
182,1,1,545,0
183,1,1,546,0
184,1,1,547,0
185,1,4,551,0
186,1,1,552,0
187,1,1,553,0
188,1,4,557,0
189,1,4,561,0
190,1,4,565,0
191,1,4,569,0
192,1,1,570,0
193,1,1,571,0
194,1,1,572,0
195,1,1,573,0
196,1,1,574,0
197,1,1,575,0
198,1,1,576,0
199,1,1,577,0
200,1,4,581,0
201,1,4,585,0
202,1,4,589,0
203,1,7,596,0
204,1,7,603,0
205,1,7,610,0
206,1,1,611,0
207,1,1,612,0
208,1,1,613,0
209,1,1,614,0
210,1,1,615,0
211,1,4,619,0
212,1,4,623,0
213,1,4,627,0
214,1,4,631,0
215,1,4,635,0
216,1,4,639,0
217,1,4,643,0
218,1,4,647,0
219,1,4,651,0
220,1,1,652,0
221,1,4,656,0
222,1,1,657,0
223,1,1,658,0
224,1,1,659,0
225,1,1,660,0
226,1,1,661,0
227,1,1,662,0
228,1,1,663,0
229,1,1,664,0
230,1,4,668,0
231,1,4,672,0
232,1,4,676,0
233,1,4,680,0
234,1,4,684,0
235,1,1,685,0
236,1,4,689,0
237,1,1,690,0
238,1,1,691,0
239,1,1,692,0
240,1,1,693,0
241,1,1,694,0
242,1,1,695,0
243,1,1,696,0
244,1,4,700,0
245,1,4,704,0
246,1,4,708,0
247,1,7,715,0
248,1,10,725,0
249,1,1,726,0
250,1,1,727,0
251,1,1,728,0
252,1,1,729,0
253,1,1,730,0
254,1,1,731,0
255,1,1,732,0
256,1,4,736,0
257,1,4,740,0
258,1,4,744,0
259,1,4,748,0
260,1,4,752,0
261,1,4,756,0
262,1,4,760,0
263,1,7,767,0
264,1,7,774,0
265,1,1,775,0
266,1,4,779,0
267,1,1,780,0
268,1,1,781,0
269,1,1,782,0
270,1,1,783,0
271,1,1,784,0
272,1,4,788,0
273,1,4,792,0
274,1,4,796,0
275,1,4,800,0
276,1,4,804,0
277,1,4,808,0
278,1,1,809,0
279,1,1,810,0
280,1,1,811,0
281,1,4,815,0
282,1,4,819,0
283,1,4,823,0
284,1,7,830,0
285,1,1,831,0
286,1,1,832,0
286,1,1,832,0
